"Timestamp","Username","Name","Age","  What is your field of study?  ","  How many hours do you study daily?  ","How many study breaks do you take per session?  ","Do you get easily distracted while studying?","  Do you keep your phone close while studying?  ","How long is each break on average? ","What do you do during your breaks? (Check all that apply)","On a scale of 1-10, how productive do you feel after taking breaks? (1 = not productive, 10 = very productive)","Do frequent breaks help you stay focused?  ","Do you follow a structured study method (e.g., Pomodoro technique i.e. break the work into small tasks with break intervals in between)? "
"2025/03/21 10:44:25 pm GMT+5:30","btech10319.23@bitmesra.ac.in","Sakshi","19","Engineering","1-3 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Take a nap","7","Yes","Yes"
"2025/03/21 10:45:33 pm GMT+5:30","sakshhi.24@gmail.com","Hardik Pandya ","19","Engineering","3-5 hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch","10","Yes","Yes"
"2025/03/21 10:48:04 pm GMT+5:30","sakshi240905@gmail.com","Cristiano Ronaldo","20","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Take a nap","10","Yes","Yes"
"2025/03/21 10:50:46 pm GMT+5:30","bss10g04navedkhurshid@gmail.com","Naved Khurshid","20","Engineering","3-5 hours","More than 5","Yes, very often","I put it in another room or turn it off","10-20 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Take a nap","5","No","Not Sure"
"2025/03/21 10:55:53 pm GMT+5:30","ishanalpha3@gmail.com","Ishan SIngh","19","Engineering","3-5 hours","4-5","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Walk/stretch;Eat/snack;Other","8","No","No"
"2025/03/21 11:23:38 pm GMT+5:30","btech10042.23@bitmesra.ac.in","Kisaan Singh","20","Engineering","1-3 hours","2-3","Sometimes","No, I keep it away","5-10 minutes","Scroll social media;Take a nap","9","Sometimes","No"
"2025/03/21 11:24:52 pm GMT+5:30","ishansinghgangwar@gmail.com","Shaan Singh","21","Engineering","5+ hours","2-3","Sometimes","Yes, but I rarely use it","10-20 minutes","Walk/stretch;Eat/snack;Take a nap","10","No","No"
"2025/03/22 1:10:42 pm GMT+5:30","raria7021@gmail.com","Sonia","20","Arts","5+ hours","More than 5","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media","5","Yes","No"
"2025/03/22 2:35:25 pm GMT+5:30","iamnishtha2009@gmail.com","Khushu","18","Arts","3-5 hours","4-5","No, I stay focused","No, I keep it away","10-20 minutes","Eat/snack","2","No","No"
"2025/03/22 2:52:47 pm GMT+5:30","pawanpoonia847@gmail.com","Pawan ","20","Arts","3-5 hours","0-1","Sometimes","Yes, but I rarely use it","5-10 minutes","Eat/snack","8","Yes","Yes"
"2025/03/22 2:53:05 pm GMT+5:30","shubhamkumarssbalachadi@gmail.com","Shubham ","20","Engineering","5+ hours","More than 5","Sometimes","Yes, but I rarely use it","10-20 minutes","Scroll social media;Walk/stretch","7","Yes","Yes"
"2025/03/22 2:55:11 pm GMT+5:30","tirthnariya5957@gmail.com","Tirth Nariya ","19","Engineering","1-3 hours","2-3","Sometimes","Yes, but I rarely use it","5-10 minutes","Scroll social media;Listen to music;Walk/stretch","7","Yes","Yes"
"2025/03/22 3:13:43 pm GMT+5:30","iph10004.23@bitmesra.ac.in","Ayush","20","Science","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media","5","Yes","No"
"2025/03/22 3:19:15 pm GMT+5:30","anukalpx@gmail.com","Anukalp Shukla","19","Engineering","Less than 1 hour","4-5","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","2","Yes","Yes"
